Open,High,Low
6.3179,6.3252,6.3117
6.2818,6.3816,6.2132
6.1936,6.3781,6.1334
6.2851,6.3691,6.1455
6.3588,6.5351,6.3588
6.5738,6.6435,6.4472
6.6171,6.6197,6.4779
6.4832,6.4896,6.1971
6.2202,6.4294,6.2109
6.3314,6.5343,6.326
6.4565,6.5359,6.3494
6.3743,6.5185,6.2582
6.2772,6.5477,6.2654
6.456,6.5027,6.3671
6.3803,6.4688,6.3457
6.3593,6.5077,6.3543
6.3916,6.5754,6.3548
6.4225,6.6199,6.4088
6.5746,6.6713,6.4978
6.5041,6.6482,6.4217
6.4454,6.4663,6.2845
6.299,6.4597,6.2761
6.3432,6.4989,6.3342
6.4892,6.55,6.3671
6.3689,6.567,6.3142
6.3272,6.6396,6.3245
6.4787,6.7077,6.455
6.691,6.7666,6.6274
6.7092,6.7469,6.4645
6.4739,6.8025,6.4739
6.7977,6.8788,6.6925
6.7057,6.8503,6.5932
6.5931,6.8587,6.5921
6.8217,6.832,6.5516
6.5668,6.7355,6.4148
6.4875,6.7619,6.4759
6.5872,6.6514,6.2563
6.4253,6.5382,6.2682
6.5065,6.5884,6.4237
6.4343,6.6219,6.3887
6.56,6.67,6.5145
6.6515,6.6866,6.3403
6.5102,6.5761,6.1768
6.1987,6.5622,6.1925
6.5426,6.5794,6.2852
6.2908,6.5438,6.2848
6.4112,6.5951,6.3921
6.5674,6.6847,6.5674
6.5666,6.6108,6.4495
6.5061,6.6314,6.4441
6.4439,6.4954,6.3161
6.472,6.5226,6.3656
6.5247,6.5842,6.4555
6.5466,6.5847,6.4822
6.4975,6.5628,6.4408
6.5267,6.5365,6.4483
6.5328,6.6296,6.498
6.5594,6.6536,6.4479
6.5595,6.5727,6.397
6.4585,6.5567,6.4389
6.5269,6.6458,6.4913
6.6292,6.6927,6.5313
6.5583,6.592,6.4667
6.4731,6.5967,6.4713
6.529,6.645,6.4655
6.6061,6.6303,6.5429
6.5912,6.6661,6.544
6.5552,6.5913,6.4242
6.4276,6.6259,6.4136
6.5876,6.68,6.5573
6.6909,6.694,6.511
6.5129,6.68,6.4283
6.5892,6.6274,6.5564
6.5649,6.6532,6.5561
6.626,6.6534,6.5769
6.6634,6.6925,6.6324
6.6364,6.7049,6.5903
6.7224,6.7707,6.7054
6.7476,6.7841,6.7007
6.704,6.7582,6.5897
6.6706,6.7358,6.653
6.6955,6.7947,6.5842
6.7852,6.8519,6.7424
6.814,6.8459,6.7482
6.8109,6.877,6.712
6.8177,6.8623,6.7077
6.8591,6.8868,6.6821
6.7963,6.8183,6.684
6.7283,6.7312,6.5168
6.6827,6.6919,6.5552
6.6284,6.7039,6.4982
6.6003,6.6644,6.5025
6.5306,6.7139,6.5264
6.6036,6.6871,6.554
6.5399,6.7274,6.3883
6.7218,6.7511,6.6677
6.732,6.7957,6.5885
6.1425,6.8421,6.0957
6.6541,6.839,6.631
6.7464,6.7718,6.5258
6.4617,6.5675,6.4059
6.3038,6.5348,6.2877
6.4574,6.519,6.2971
6.4872,6.5541,6.475
6.4828,6.491,6.3958
6.4254,6.4926,6.3672
6.5302,6.5414,6.1589
6.1976,6.2832,6.0925
6.1103,6.2191,5.8382
6.0212,6.3006,6.0071
6.3021,6.3424,6.1471
6.3288,6.4184,6.2262
6.4039,6.4312,6.1902
6.2084,6.27,6.1763
6.2751,6.2778,6.1657
6.166,6.1727,6.0472
6.0925,6.2961,6.0412
6.2322,6.3228,6.1946
6.239,6.242,6.0757
6.1046,6.2191,6.089
6.1916,6.2302,6.0668
6.1589,6.2376,6.1346
6.1487,6.2244,6.1159
6.1664,6.2676,6.1616
6.2555,6.345,6.1035
6.3097,6.3345,6.2655
6.3278,6.344,6.2657
6.2746,6.333,6.1483
6.3064,6.3544,6.2753
6.2827,6.3925,6.2303
6.3657,6.3833,6.279
6.3654,6.4071,6.351
6.3684,6.3965,6.1399
6.1488,6.3658,6.1464
6.3066,6.3644,6.2033
6.3125,6.3427,6.1959
6.2135,6.3802,6.2108
6.3522,6.437906,6.2487
6.429,6.4323,6.2028
6.245,6.3485,6.2349
6.2983,6.3191,6.18
6.1935,6.2209,6.0123
6.0324,6.2101,5.9105
6.1116,6.2227,5.9752
5.9891,6.2325,5.9891
6.0383,6.2538,6.0329
6.2051,6.2466,6.0448
6.0484,6.2859,6.0484
6.1353,6.2919,6.0754
6.1085,6.3237,6.1055
6.2942,6.3539,6.1933
6.1955,6.3777,6.14
6.1361,6.4109,6.1361
6.2478,6.446,6.2396
6.4262,6.4485,6.2495
6.2534,6.4471,6.2494
6.43,6.487,6.2565
6.2695,6.5494,6.2683
6.4975,6.5076,6.2319
6.4491,6.4563,6.2598
6.2838,6.4467,6.2524
6.2696,6.445,6.2454
6.3957,6.4109,6.1526
6.2811,6.3127,6.0805
6.0848,6.2744,6.0833
6.266,6.3384,6.077
6.0834,6.2312,6.0652
6.0667,6.2729,6.0603
6.0825,6.279,6.0825
6.1147,6.3266,6.1003
6.3154,6.3458,6.1415
6.3208,6.335,6.1542
6.2615,6.2957,6.0824
6.0919,6.333,6.0838
6.1304,6.3275,6.1074
6.1118,6.3196,6.0962
6.1296,6.2743,6.009
6.0079,6.2418,6.0054
6.0962,6.2669,6.0806
6.0815,6.2281,6.025
6.0324,6.2007,5.9308
5.9402,6.0936,5.9246
6.0511,6.0655,5.9435
5.951,6.0937,5.9365
6.0002,6.1527,5.8819
5.8925,6.1185,5.8773
5.9578,6.1439,5.9053
5.9115,6.1394,5.9092
6.1019,6.1072,5.8718
5.8865,6.0638,5.8796
6.0517,6.1266,5.9536
5.9531,6.1256,5.9246
5.9287,6.0872,5.8324
5.9635,5.9832,5.7993
5.8017,5.952,5.7603
5.7718,6.0167,5.7599
5.8748,6.0405,5.8642
5.869,6.0398,5.7595
5.854,5.892,5.7041
5.7151,5.8445,5.6607
5.6762,5.9308,5.6762
5.9012,5.9185,5.7598
5.9125,5.9702,5.8138
5.9587,5.9714,5.7146
5.7216,5.9542,5.714
5.9449,5.9537,5.7739
5.9104,5.9261,5.6777
5.816,5.8363,5.6714
5.8041,5.8889,5.6985
5.8742,5.9661,5.7597
5.7559,6.0074,5.7556
5.9319,5.9503,5.7881
5.9381,5.9495,5.8109
5.9295,5.9378,5.7812
5.7678,5.9255,5.7658
5.7866,5.924,5.6807
5.8181,5.8508,5.7187
5.723,5.8607,5.6912
5.6974,5.8301,5.6717
5.6794,5.8443,5.6769
5.7722,5.7845,5.7275
5.73,5.7348,5.6792
5.6983,5.7446,5.5935
5.726,5.7366,5.6481
5.6957,5.7295,5.5501
5.6555,5.707,5.5686
5.6824,5.6987,5.5204
5.5388,5.5554,5.405
5.4099,5.5284,5.3453
5.4572,5.476,5.3376
5.3399,5.52,5.3366
5.4937,5.5375,5.4566
